"","Title","Location","Price"
"1","Realme 10 Pro Plus (Used)","Mymensingh, Mobile Phones","Tk 23,490"
"2","Samsung Galaxy M53 5G, Fixedprice (Used)","Dhaka, Mobile Phones","Tk 20,499"
"3","Nokia 1280 (New)","Chattogram, Mobile Phones","Tk 800"
"4","DZ09 SIM and Memory Card Supported Smart Watch","Rajshahi, Wearables","Tk 1,250"
"5","Realme C11 . (Used)","Chattogram Division, Mobile Phones","Tk 6,000"
"6","Huawei Honor 7 2/16 (Used)","Dhaka Division, Mobile Phones","Tk 2,500"
"7","Charger for sell","Dhaka, Mobile Phone Accessories","Tk 500"
"8","OPPO Reno 5 8/128 (Used)","Dhaka, Mobile Phones","Tk 16,000"
"9","Geo R22 .baton phn type c (Used)","Khulna, Mobile Phones","Tk 1,500"
"10","Xiaomi Poco M2 6/64 (Used)","Dhaka, Mobile Phones","Tk 8,500"
"11","OPPO A54 (Used)","Dhaka, Mobile Phones","Tk 8,000"
"12","Xiaomi Redmi Note 12C (Used)","Chattogram, Mobile Phones","Tk 8,500"
"13","Xiaomi Mi 9 , (Used)","Mymensingh Division, Mobile Phones","Tk 7,500"
"14","Z70 Ultra Smart Watch","Dhaka Division, Wearables","Tk 1,900"
"15","Nokia 105 . (Used)","Khulna, Mobile Phones","Tk 1,500"
"16","Huawei Y5 2019 (Used)","Dhaka Division, Mobile Phones","Tk 4,000"
"17","Infinix Hot 11 Play 4+64 (Used)","Khulna Division, Mobile Phones","Tk 4,500"
"18","Apple iPhone 13 (Used)","Dhaka, Mobile Phones","Tk 66,500"
"19","Apple iPhone SE 64GB (Used)","Chattogram, Mobile Phones","Tk 25,000"
"20","Nokia 206 . (Used)","Dhaka, Mobile Phones","Tk 1,300"
"21","Xiaomi Redmi 9 Power . (Used)","Dhaka, Mobile Phones","Tk 9,800"
"22","Realme 8 4/128 (Used)","Rajshahi Division, Mobile Phones","Tk 13,500"
"23","Realme C25s (Used)","Chattogram, Mobile Phones","Tk 6,000"
"24","Samsung Galaxy A34 (Used)","Dhaka, Mobile Phones","Tk 24,500"
"25","Xiaomi Redmi 10 2022 (Used)","Dhaka, Mobile Phones","Tk 15,500"
"26","OnePlus Nord CE 2 lite 3 5G (Used)","Dhaka, Mobile Phones","Tk 28,000"
"27","Xiaomi Redmi Note 11 6/128 (Used)","Sylhet, Mobile Phones","Tk 17,500"
